"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"participant.ID","integer",4708,0,83,58172.3880628717,61567,61567,NA,28958.2149863354,NA,10076,99378,89302,-0.18224137507475,-2.55327677778079,-1.39638869960361,-9.78406503886906,NA,NA
"Dropped.out","factor",4708,0,3,NA,NA,4595,"0",NA,0.0468512353383204,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Toest_aspect1","factor",4708,0,3,NA,NA,2711,"Yes",NA,0.488500114413255,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Toest_aspect2","factor",4708,0,3,NA,NA,2772,"Yes",NA,0.484234430954669,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Toest_aspect3","factor",4708,0,3,NA,NA,2591,"Yes",NA,0.494931799594176,NA,NA,NA,NA,NA,NA,NA,NA,NA
"max.day","integer",4708,0,10,59.7308836023789,61,61,NA,5.95457683130389,NA,5,61,56,-6.12765480933767,-85.8509694657501,38.6595167625771,270.875313215924,NA,NA
"max.week","integer",4708,0,7,8.85322854715378,9,9,NA,0.845083624435342,NA,1,9,8,-6.21870718616134,-87.1266507933864,39.9414097554087,279.857142142422,NA,NA
"duration_sec_start_stop","integer",3143,0.332412914188615,666,455.575246579701,144,144,NA,3104.24787839196,NA,31,73833,73802,17.5440696446261,200.864892653041,336.014191829014,1924.1509788978,NA,NA
"sent.beeps.evening","integer",4708,0,11,59.6474086661003,61,61,NA,6.11063459808872,NA,1,61,60,-6.09948427000023,-85.4562885988046,38.6457063454242,270.778547881403,NA,NA
"Appmal_noeven","factor",4708,0,3,NA,NA,4651,"no",NA,0.0239209422454882,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Appmal_negti","factor",3143,0.332412914188615,2,NA,NA,3143,"no issue",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Appmal_longexp","factor",3143,0.332412914188615,3,NA,NA,3114,"no",NA,0.0182834370051412,NA,NA,NA,NA,NA,NA,NA,NA,NA
