"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"sema_id","factor",7903,0,129,NA,NA,122,"3934451",NA,0.991947456545948,NA,NA,NA,NA,NA,NA,NA,NA,NA
"int","integer",6101,0.228014677970391,102,39.9311588264219,35,35,NA,27.2772020544483,NA,0,100,100,0.25576531701211,4.0789020999714,-1.12133125320427,-8.94286452895432,NA,NA
"ctrl","integer",6061,0.233076047070733,102,49.7861738986966,53,53,NA,29.9692165533332,NA,0,100,100,-0.0385176642166054,-0.612257207646605,-1.2288945102576,-9.76855062369403,NA,NA
"relax2","integer",6024,0.237757813488549,102,32.9606573705179,25,25,NA,30.8248216386528,NA,0,100,100,0.548163483212647,8.68670481410028,-1.05936188327325,-8.3952050514817,NA,NA
"exp1","integer",6036,0.236239402758446,102,41.1255798542081,36,36,NA,30.2381182659712,NA,0,100,100,0.238812597565236,3.78821059582107,-1.17656528928833,-9.33329028567192,NA,NA
"rumi2","integer",6027,0.237378210806023,102,40.5981416957027,35,35,NA,29.4490923012787,NA,0,100,100,0.197308545127,3.12751151618501,-1.20912191756911,-9.58440338271087,NA,NA
"reap1","integer",6028,0.237251676578514,102,41.9948573324486,37,37,NA,29.858309388704,NA,0,100,100,0.134036237167411,2.12476673600475,-1.22832786432406,-9.7374511107122,NA,NA
"dist2","integer",6022,0.238010881943566,102,48.6373297907672,58,58,NA,31.2109365301177,NA,0,100,100,-0.167034923146364,-2.6465504330278,-1.29684830060261,-10.2755268074384,NA,NA
"sup1","integer",6029,0.237125142351006,102,37.1283794990877,29,29,NA,30.3775366068943,NA,0,100,100,0.415355152063661,6.58483103327271,-1.11627086415609,-8.84986337362485,NA,NA
"PSS","numeric",7903,0,13,1.69125648487916,1.75,1.75,NA,0.639951219262317,NA,0.25,3.25,3,0.356755004368277,6.4750458955702,-0.253809091789151,-2.30358824709318,NA,NA
"NA.","numeric",7903,0,49,3.7660497164483,3.90909090909091,3.90909090909091,NA,1.20451864012407,NA,1.27272727272727,6.90909090909091,5.63636363636364,0.101147066603904,1.83580297527232,-0.400002778067888,-3.63045189542415,NA,NA
