"sema_id","int","ctrl","relax2","exp1","rumi2","reap1","dist2","sup1","PSS","NA."
"3250",20,80,0,0,70,0,50,48,2.5,4.90909090909091
"3250",30,0,0,0,0,60,70,100,2.5,4.90909090909091
"3250",10,100,0,0,0,0,0,30,2.5,4.90909090909091
"3250",0,100,70,0,0,0,0,0,2.5,4.90909090909091
"3250",65,45,0,70,100,60,0,25,2.5,4.90909090909091
"3250",NA,NA,NA,NA,NA,NA,NA,NA,2.5,4.90909090909091
"3250",30,0,0,55,0,45,0,100,2.5,4.90909090909091
"3250",60,100,15,43,78,74,87,100,2.5,4.90909090909091
"3250",85,80,0,100,100,0,0,0,2.5,4.90909090909091
"3250",70,75,0,71,70,0,0,0,2.5,4.90909090909091
"3250",79,1,0,36,100,0,82,0,2.5,4.90909090909091
"3250",67,81,36,75,63,6,63,62,2.5,4.90909090909091
"3250",70,0,0,53,57,27,0,0,2.5,4.90909090909091
"3250",21,60,0,0,63,0,63,45,2.5,4.90909090909091
"3250",28,47,5,8,23,2,11,25,2.5,4.90909090909091
"3250",75,79,17,23,73,23,82,80,2.5,4.90909090909091
"3250",NA,NA,NA,NA,NA,NA,NA,NA,2.5,4.90909090909091
"3250",12,17,9,24,77,29,82,28,2.5,4.90909090909091
"3250",NA,NA,NA,NA,NA,NA,NA,NA,2.5,4.90909090909091
"3250",15,28,0,62,74,25,67,84,2.5,4.90909090909091
"3250",25,3,0,76,78,18,73,0,2.5,4.90909090909091
"3250",4,85,5,17,59,17,26,25,2.5,4.90909090909091
"3250",9,88,5,2,76,9,12,2,2.5,4.90909090909091
"3250",0,100,61,0,70,70,100,0,2.5,4.90909090909091
"3250",29,42,10,57,75,63,79,45,2.5,4.90909090909091
"3250",41,9,17,29,77,28,30,26,2.5,4.90909090909091
"3250",4,18,0,12,67,28,39,35,2.5,4.90909090909091
"3250",21,27,17,36,69,25,26,85,2.5,4.90909090909091
"3250",NA,NA,NA,NA,NA,NA,NA,NA,2.5,4.90909090909091
"3250",NA,NA,NA,NA,NA,NA,NA,NA,2.5,4.90909090909091
